age,job_type,risk_preference,current_asset,monthly_income,monthly_expense,monthly_cashflow,goal_amount,goal_months,expected_return,future_asset,shortage_amount,achievable
26,student,medium,0,112329,78156,34173,1731000,44,0.036,1604797,126203,0
39,freelancer,low,23179754,3245390,1775465,1469925,1808000,47,0.0259,98281505,0,1
24,student,low,2629416,0,393057,-393057,10000,53,0.0125,0,10000,0
48,self_employed,low,10356552,3549856,2175337,1374519,299000,61,0.0126,97583400,0,1
23,employee,low,24778763,3008343,2129008,879335,523000,83,0.0148,104249316,0,1
38,self_employed,high,10446236,0,4344553,-4344553,10000,28,0.0866,0,10000,0
34,employee,medium,14458177,5432439,3424190,2008249,624000,76,0.0388,191178505,0,1
25,employee,low,20722524,3036253,1887728,1148525,10000,52,0.019,84698932,0,1
40,employee,medium,28383886,3388284,1813577,1574707,2921000,79,0.0375,177173063,0,1
23,student,medium,3517192,0,1024446,-1024446,1626000,74,0.0482,0,1626000,0
36,employee,low,22090007,0,6301886,-6301886,1325000,60,0.024,0,1325000,0
37,freelancer,high,0,0,0,0,10000,66,0.0813,0,10000,0
23,student,medium,0,822665,642445,180220,1982000,50,0.0453,9897055,0,1
20,student,high,2158711,0,461703,-461703,10000,50,0.0645,0,10000,0
22,employee,medium,42841759,3003311,2056360,946951,155000,70,0.0365,126737729,0,1
29,employee,low,4371268,3995379,1986780,2008599,1559000,43,0.0138,93081480,0,1
21,student,low,0,0,0,0,1433000,64,0.0248,0,1433000,0
28,employee,low,8250646,2537454,1185998,1351456,787000,71,0.0194,110843608,0,1
19,student,low,531574,0,144007,-144007,1160000,59,0.02,0,1160000,0
31,freelancer,high,8864655,0,1407705,-1407705,10000,52,0.066,0,10000,0
22,student,medium,923499,0,87154,-87154,94000,74,0.0464,0,94000,0
52,freelancer,medium,27656352,2290344,1514237,776107,1075000,53,0.0375,77290161,0,1
42,freelancer,medium,0,0,0,0,599000,46,0.0331,0,599000,0
31,freelancer,medium,0,2499043,2227822,271221,234000,69,0.0501,21636464,0,1
24,student,high,2435374,0,1133755,-1133755,10000,33,0.0913,0,10000,0
41,employee,low,9435410,3172149,1915444,1256705,10000,23,0.0188,39189160,0,1
46,employee,medium,29232800,4546568,1999149,2547419,723000,59,0.0461,204986692,0,1
22,employee,medium,0,3800203,2277808,1522395,2272000,8,0.0598,12393715,0,1
34,employee,medium,0,1901518,1060216,841302,341000,52,0.0477,48490727,0,1
47,employee,medium,20300346,3884103,2186756,1697347,266000,40,0.0485,97383889,0,1
35,employee,low,25170717,0,13665244,-13665244,10000,56,0.021,0,10000,0
28,employee,high,15379856,3555393,2287530,1267863,1560000,56,0.0755,106651987,0,1
42,employee,medium,0,3249235,1706042,1543193,440000,91,0.0436,166076848,0,1
24,student,low,2141918,0,457135,-457135,786000,45,0.0166,0,786000,0
43,self_employed,medium,42763024,5020564,3449243,1571321,39000,85,0.0513,222099677,0,1
31,professional,medium,42904208,0,8205779,-8205779,1740000,87,0.0597,0,1740000,0
24,student,high,4229671,0,696376,-696376,10000,90,0.0659,0,10000,0
24,student,low,1944154,0,201882,-201882,10000,38,0.0141,0,10000,0
24,student,medium,4172900,1435512,1027809,407703,892000,40,0.0428,22306900,0,1
33,employee,low,17035572,1928526,1136955,791571,10000,12,0.0286,27153588,0,1
42,employee,high,54821278,2771841,2119566,652275,13000,40,0.0947,105614854,0,1
19,student,low,0,0,0,0,354000,25,0.0233,0,354000,0
32,freelancer,low,25666005,2109473,1223025,886448,2412000,51,0.0184,74738054,0,1
32,professional,high,47686470,4966912,2486847,2480065,427000,43,0.0896,190868008,0,1
24,student,low,53623,0,44797,-44797,10000,66,0.0158,0,10000,0
40,freelancer,medium,23163052,0,3708726,-3708726,900000,43,0.0305,0,900000,0
24,student,low,2615353,0,639576,-639576,10000,65,0.0166,0,10000,0
39,self_employed,high,42588000,7031433,5796917,1234516,221000,55,0.0652,136260969,0,1
40,self_employed,low,5684274,0,1771529,-1771529,636000,89,0.012,0,636000,0
21,student,medium,0,957185,771928,185257,123000,85,0.0591,19496539,0,1
21,student,low,1438053,510148,306052,204096,1723000,29,0.0197,7564962,0,1
27,employee,low,1638976,4324336,2796413,1527923,10000,96,0.0274,165830723,0,1
42,professional,medium,20410480,7268711,3424575,3844136,10000,44,0.0343,203106577,0,1
39,employee,low,32200301,3772609,1637654,2134955,301000,41,0.0201,125017773,0,1
28,employee,high,8959010,3985971,2188368,1797603,809000,23,0.0885,55487267,0,1
22,student,high,2560348,126468,71582,54886,3437000,62,0.0873,8293805,0,1
26,student,low,0,0,0,0,10000,36,0.0127,0,10000,0
29,professional,low,0,1988860,1021386,967474,985000,33,0.0242,32978604,0,1
31,self_employed,low,46713126,4041248,3185215,856033,1262000,59,0.0128,101846153,0,1
38,freelancer,high,0,0,0,0,2955000,1,0.0951,0,2955000,0
19,student,low,1792743,0,496499,-496499,84000,40,0.0133,0,84000,0
25,student,low,0,1993520,1516023,477497,327000,61,0.0258,31088006,0,1
35,employee,high,20796422,2241478,1388341,853137,10000,46,0.0919,76372233,0,1
35,employee,high,35890970,1850456,1505136,345320,317000,54,0.0839,74846677,0,1
24,professional,medium,30615601,5145851,3048838,2097013,10000,35,0.0473,113668663,0,1
23,student,low,3238402,0,1294724,-1294724,1101000,28,0.0244,0,1101000,0
21,student,low,1721740,0,354015,-354015,420000,51,0.0121,0,420000,0
41,professional,medium,13955865,3779218,2341868,1437350,533000,58,0.0331,106644041,0,1
22,student,low,5915385,0,841470,-841470,119000,9,0.0206,0,119000,0
32,professional,low,21358754,4425084,2774175,1650909,351000,59,0.0256,127901770,0,1
23,student,high,101781,119064,70304,48760,10000,23,0.0737,1317778,0,1
23,student,low,4374905,0,594390,-594390,1151000,70,0.0261,0,1151000,0
35,freelancer,low,503950,2463302,1481970,981332,10000,43,0.0113,43567332,0,1
23,employee,medium,1570028,1298755,646945,651810,867000,74,0.0321,55173842,0,1
21,student,low,9170337,0,3125994,-3125994,1616000,36,0.0195,0,1616000,0
30,freelancer,high,10850469,0,1351362,-1351362,10000,33,0.0963,0,10000,0
26,freelancer,low,27331913,1581179,1215470,365709,1660000,26,0.026,38684517,0,1
24,student,low,1978012,0,1020603,-1020603,1471000,53,0.0281,0,1471000,0
22,student,medium,4175183,0,939795,-939795,10000,61,0.0436,0,10000,0
37,freelancer,medium,27253309,1791251,1333055,458196,337000,67,0.035,66975320,0,1
36,employee,low,4619472,0,602118,-602118,251000,22,0.0166,0,251000,0
22,student,medium,0,652856,621619,31237,1316000,34,0.0339,1113088,202912,0
43,self_employed,high,53003449,0,16631996,-16631996,694000,45,0.0887,0,694000,0
23,student,medium,3894224,1351072,824222,526850,10000,45,0.0586,31291801,0,1
32,freelancer,high,5781062,5321217,2963559,2357658,10000,43,0.0773,124001905,0,1
26,professional,medium,25888051,3683812,2759948,923864,10000,87,0.0462,131424078,0,1
32,self_employed,high,10179658,0,4821865,-4821865,10000,47,0.0803,0,10000,0
33,employee,low,12874042,4394041,2078368,2315673,10000,67,0.0263,181831328,0,1
32,employee,low,8556277,3739636,2899844,839792,1816000,56,0.0139,57687469,0,1
24,student,low,6585424,0,3239552,-3239552,1669000,66,0.0196,0,1669000,0
24,student,medium,4600594,0,1207679,-1207679,10000,34,0.0338,0,10000,0
23,student,low,0,0,0,0,118000,32,0.0142,0,118000,0
42,employee,medium,21843146,3985072,1681366,2303706,2540000,13,0.0466,53627927,0,1
40,professional,low,23024749,3839013,2019035,1819978,1295000,50,0.0193,119629874,0,1
41,self_employed,low,39515515,3388198,2042178,1346020,1370000,66,0.0206,138232038,0,1
37,employee,high,31320534,3897669,2468825,1428844,888000,38,0.0908,104344223,0,1
44,self_employed,low,52410559,0,20000000,-20000000,10000,74,0.0152,0,10000,0
36,employee,medium,33129499,3922879,2232042,1690837,1123000,75,0.0443,189474995,0,1
22,student,low,0,0,0,0,336000,50,0.0254,0,336000,0
22,student,medium,9996129,390869,319165,71704,10000,89,0.0333,20019627,0,1
21,student,medium,0,0,0,0,680000,19,0.0367,0,680000,0
40,employee,high,33106516,3237547,1811041,1426506,122000,6,0.0692,42952025,0,1
23,student,medium,1454715,83921,67897,16024,350000,1,0.0543,1477322,0,1
37,freelancer,high,0,0,0,0,876000,65,0.097,0,876000,0
22,student,low,0,0,0,0,323000,26,0.0283,0,323000,0
24,student,low,3593799,0,1312919,-1312919,618000,42,0.0149,0,618000,0
32,employee,low,35614709,4500265,3020103,1480162,1271000,70,0.0104,144612296,0,1
31,employee,low,10666287,5736997,2983336,2753661,1054000,48,0.0296,152140748,0,1
24,student,low,9201018,1022087,605408,416679,10000,80,0.0231,46731995,0,1
24,freelancer,medium,3233667,0,546903,-546903,48000,38,0.0503,0,48000,0
21,student,low,0,1797134,1730645,66489,2579000,30,0.0273,2061888,517112,0
43,self_employed,high,33671778,5017466,3372982,1644484,10000,31,0.094,100334652,0,1
27,freelancer,high,2798754,4242743,3504005,738738,1657000,49,0.0766,46164196,0,1
23,student,medium,4681409,0,1499418,-1499418,81000,19,0.0531,0,81000,0
35,professional,medium,19564992,2940932,2000529,940403,10000,49,0.0363,72275238,0,1
30,employee,medium,8326961,3504722,1956815,1547907,1640000,91,0.044,178465215,0,1
43,self_employed,medium,4298712,0,2114960,-2114960,1344000,27,0.0463,0,1344000,0
25,employee,low,35681753,3343242,2253932,1089310,536000,43,0.0126,85216960,0,1
43,professional,medium,27925349,3037363,1826098,1211265,1902000,21,0.057,57529223,0,1
39,professional,high,0,6060114,3129297,2930817,1009000,25,0.069,78556176,0,1
22,student,low,2565891,1243819,840700,403119,10000,1,0.0283,2975061,0,1
35,self_employed,high,6149770,1709915,1244681,465234,10000,8,0.0819,10305681,0,1
33,self_employed,low,0,6639296,2411464,4227832,846000,38,0.0271,167555307,0,1
35,freelancer,high,22215156,5578224,4769044,809180,959000,49,0.099,81846173,0,1
30,freelancer,medium,0,3300002,2044834,1255168,1149000,33,0.0401,43713589,0,1
40,employee,medium,24401045,2793442,1466647,1326795,482000,7,0.0588,34675618,0,1
37,freelancer,high,34071151,320687,225697,94990,1158000,27,0.091,44614753,0,1
28,student,medium,0,0,0,0,10000,21,0.0411,0,10000,0
39,professional,high,11803886,5366696,4216783,1149913,10000,86,0.0812,154651232,0,1
31,freelancer,high,0,4782794,2831175,1951619,1536000,17,0.0764,34922377,0,1
31,freelancer,high,46529461,0,16460099,-16460099,939000,101,0.0985,0,939000,0
47,professional,medium,780033,6355631,4126911,2228720,1376000,35,0.0415,83650867,0,1
38,employee,low,19361540,4983380,3067367,1916013,829000,40,0.0189,99661530,0,1
45,professional,high,10364290,5821009,3670597,2150412,10000,65,0.0929,197887845,0,1
59,self_employed,low,24151327,0,8024936,-8024936,1088000,81,0.0212,0,1088000,0
25,self_employed,medium,10128192,2277718,1740920,536798,2797000,87,0.0449,69095129,0,1
35,freelancer,medium,11510080,0,3875600,-3875600,112000,30,0.0572,0,112000,0
39,employee,medium,31807670,3963551,2010736,1952815,282000,40,0.0456,121207972,0,1
27,employee,medium,32757633,3214068,2251349,962719,1175000,48,0.031,86206535,0,1
25,student,medium,2240899,0,62481,-62481,10000,39,0.0572,26529,0,1
37,self_employed,medium,15729380,0,4262484,-4262484,522000,16,0.042,0,522000,0
31,employee,medium,2969526,3027297,2237733,789564,249000,63,0.0303,57324686,0,1
26,employee,medium,12106597,2983125,2174013,809112,940000,55,0.0576,66544044,0,1
22,student,low,2716796,0,837446,-837446,238000,64,0.0296,0,238000,0
27,employee,low,4590245,3328723,2155431,1173292,10000,87,0.0235,116611272,0,1
39,professional,low,28098862,3422399,2080035,1342364,10000,39,0.0128,82719073,0,1
45,employee,medium,8507748,3240941,1883751,1357190,776000,59,0.049,101156078,0,1
38,freelancer,high,23382226,0,2307454,-2307454,10000,33,0.0648,0,10000,0
22,employee,low,29770687,3823840,1863704,1960136,10000,33,0.0263,99006077,0,1
21,student,low,3554834,0,1563276,-1563276,490000,59,0.0123,0,490000,0
26,employee,low,8422706,3848737,2214934,1633803,10000,37,0.0291,72377974,0,1
30,employee,medium,18665623,3081138,1815890,1265248,2077000,46,0.033,83131259,0,1
45,employee,low,24949609,2889064,2534973,354091,174000,45,0.0188,43266394,0,1
24,freelancer,low,26141675,0,10916333,-10916333,511000,82,0.0114,0,511000,0
32,employee,low,24977799,4041605,2152793,1888812,10000,60,0.0129,143639545,0,1
26,employee,medium,22569431,2606730,1432934,1173796,2122000,70,0.0546,127513667,0,1
29,self_employed,medium,2025514,4206052,3587639,618413,608000,33,0.0502,24159212,0,1
30,employee,low,14953866,3385196,2225364,1159832,10000,8,0.016,24436192,0,1
19,student,medium,1250956,140779,106385,34394,3202000,61,0.0339,3771994,0,1
41,self_employed,high,31405375,0,12397432,-12397432,1582000,18,0.0749,0,1582000,0
34,employee,high,3484588,0,2090752,-2090752,781000,45,0.0933,0,781000,0
20,student,low,7358210,905734,560253,345481,10000,74,0.0165,35037816,0,1
23,student,low,782420,0,99241,-99241,229000,73,0.0215,0,229000,0
22,student,low,1474189,0,332099,-332099,1079000,63,0.0197,0,1079000,0
27,employee,low,31891348,3839896,2319475,1520421,846000,51,0.0106,112639058,0,1
37,self_employed,medium,0,3635581,2393138,1242443,10000,74,0.0434,105202420,0,1
29,employee,low,15977813,3231147,1920785,1310362,10000,57,0.0184,95425342,0,1
25,employee,low,26936476,2393713,1740996,652717,1611000,56,0.0266,69364281,0,1
44,employee,high,38316593,2702592,1834548,868044,10000,29,0.0994,76994696,0,1
29,employee,low,22068077,3588429,2122840,1465589,38000,48,0.0103,94781977,0,1
46,employee,low,32884128,0,9636383,-9636383,464000,47,0.0283,0,464000,0
24,student,low,1909392,1528869,1100120,428749,140000,76,0.0165,36443098,0,1
43,self_employed,medium,61420914,0,20000000,-20000000,10000,55,0.0408,0,10000,0
42,employee,low,31205644,2386554,1364182,1022372,522000,66,0.0189,105670731,0,1
25,employee,medium,0,3612817,2367433,1245384,1963000,9,0.0417,11365523,0,1
27,student,medium,4143536,0,1629037,-1629037,1525000,22,0.0434,0,1525000,0
36,employee,medium,12094192,4018790,1604968,2413822,66000,52,0.053,155963657,0,1
24,freelancer,low,18093547,2810275,2242626,567649,10000,50,0.0196,49180373,0,1
20,student,high,4691630,0,1510430,-1510430,845000,56,0.0831,0,845000,0
27,professional,medium,0,0,0,0,1773000,21,0.0587,0,1773000,0
45,employee,low,0,2702975,2083485,619490,1911000,17,0.0299,10743893,0,1
38,freelancer,medium,19902923,0,6378632,-6378632,10000,33,0.049,0,10000,0
30,freelancer,medium,16238727,1629939,1140638,489301,285000,47,0.0501,45101553,0,1
50,self_employed,medium,22708992,4491023,3590233,900790,844000,65,0.0439,94756204,0,1
21,student,medium,4526798,2191391,1684510,506881,1312000,97,0.044,65374660,0,1
34,employee,low,40932316,5315798,3689332,1626466,2442000,51,0.0234,132333386,0,1
43,freelancer,medium,0,0,0,0,10000,107,0.0379,0,10000,0
23,student,low,996774,0,406281,-406281,1487000,75,0.0134,0,1487000,0
32,freelancer,medium,19656010,3412849,2039063,1373786,1263000,100,0.0349,185454835,0,1
41,employee,medium,20150694,500000,306668,193332,10000,41,0.0538,32887680,0,1
23,student,low,0,0,0,0,10000,63,0.024,0,10000,0
28,self_employed,medium,35434414,4152139,2502004,1650135,91000,40,0.0426,111617619,0,1
33,employee,medium,26666392,3037952,1845058,1192894,2271000,36,0.0337,74622646,0,1
37,professional,medium,16570025,3324265,2119582,1204683,773000,11,0.0598,31087995,0,1
42,freelancer,high,22152380,3362679,2124910,1237769,10000,40,0.0953,88406862,0,1
20,student,medium,2053941,0,1018512,-1018512,1225000,51,0.0439,0,1225000,0
28,employee,low,35319954,2087723,1105464,982259,647000,18,0.026,54733171,0,1
42,professional,low,25915560,4574090,2634498,1939592,1043000,49,0.0175,126277463,0,1
42,self_employed,high,28231555,0,12670946,-12670946,1542000,84,0.0899,0,1542000,0
35,employee,low,13083901,3736723,2438537,1298186,10000,19,0.0268,38818038,0,1
24,self_employed,low,38664806,1558827,891622,667205,665000,42,0.0119,68908262,0,1
31,professional,high,22830637,2189254,1207948,981306,1566000,52,0.0648,88940183,0,1
19,student,low,2711896,0,1352580,-1352580,2472000,54,0.0237,0,2472000,0
44,employee,low,40090942,0,20000000,-20000000,516000,75,0.0222,0,516000,0
23,student,low,2898244,0,715652,-715652,2461000,72,0.0175,0,2461000,0
31,employee,medium,26518923,3105467,2357706,747761,365000,20,0.0588,44914672,0,1
37,employee,high,11087899,3077012,1754275,1322737,379000,31,0.0879,59749260,0,1
30,professional,medium,23359586,6862620,2735717,4126903,10000,53,0.0366,264456736,0,1
43,freelancer,low,37482505,0,9139048,-9139048,79000,63,0.0215,0,79000,0
24,student,medium,1859740,2418639,2019452,399187,696000,11,0.0498,6429736,0,1
32,employee,high,24565315,2359966,1025987,1333979,10000,33,0.0624,77039643,0,1
28,employee,low,33434437,3713076,2369438,1343638,10000,17,0.0127,57077366,0,1
46,professional,medium,23612365,4304590,1543853,2760737,185000,77,0.0331,265667781,0,1
23,student,medium,6518834,0,2464087,-2464087,1051000,24,0.0402,0,1051000,0
23,student,low,1541445,0,924867,-924867,754000,108,0.0167,0,754000,0
41,self_employed,high,14641,1279776,899818,379958,139000,55,0.0845,25435371,0,1
38,employee,low,25909988,4162154,2006594,2155560,10000,64,0.0157,171969587,0,1
21,student,high,1296915,0,318348,-318348,2352000,35,0.084,0,2352000,0
21,student,low,4579400,2476417,1829027,647390,1137000,68,0.0214,51927986,0,1
22,student,low,1854326,408237,235124,173113,201000,45,0.0177,10029788,0,1
45,self_employed,medium,0,3590080,3399200,190880,1814000,7,0.0423,1350373,463627,0
45,employee,low,3510483,4423683,3391518,1032165,842000,17,0.021,21411018,0,1
28,freelancer,high,0,0,0,0,10000,85,0.0885,0,10000,0
22,freelancer,medium,0,0,0,0,10000,18,0.0444,0,10000,0
35,employee,medium,1712722,2558413,1577779,980634,10000,65,0.0319,71514354,0,1
21,student,medium,5920977,0,492249,-492249,287000,37,0.0559,0,287000,0
43,self_employed,medium,4355567,779934,626625,153309,10000,1,0.0585,4530109,0,1
44,self_employed,medium,5615264,0,2500382,-2500382,240000,54,0.0525,0,240000,0
27,freelancer,medium,25448725,0,12915897,-12915897,1520000,24,0.0385,0,1520000,0
31,employee,low,3111970,3725718,2684198,1041520,2802000,25,0.0257,30001238,0,1
35,employee,medium,36075449,3513590,2237323,1276267,894000,21,0.036,66038839,0,1
34,employee,low,17756257,2290202,1638775,651427,325000,1,0.0241,18443344,0,1
41,freelancer,low,16280889,0,8762375,-8762375,656000,11,0.0257,0,656000,0
25,student,low,2637556,0,243127,-243127,393000,54,0.0128,0,393000,0
41,employee,medium,9480219,3657178,2071878,1585300,467000,65,0.0441,128186393,0,1
21,student,low,0,0,0,0,1516000,46,0.0221,0,1516000,0
46,self_employed,high,0,0,0,0,1231000,87,0.0862,0,1231000,0
21,student,medium,0,755420,646879,108541,773000,78,0.0352,9497448,0,1
27,student,medium,6372510,655630,579370,76260,440000,64,0.0334,12947413,0,1
22,student,low,3181434,1200944,1167651,33293,1916000,28,0.018,4269124,0,1
36,employee,medium,12170483,5688276,3121800,2566476,1060000,74,0.0304,223274344,0,1
45,professional,medium,4336011,4293803,2968251,1325552,1417000,1,0.0548,5681364,0,1
33,freelancer,high,40509643,0,11780439,-11780439,10000,53,0.0977,0,10000,0
24,employee,low,22696238,2494789,1800766,694023,10000,21,0.0161,38116053,0,1
51,self_employed,high,2013611,0,396260,-396260,235000,53,0.0719,0,235000,0
38,employee,low,25094223,3185605,2262473,923132,10000,15,0.0128,39449593,0,1
41,employee,low,24557896,4643345,3085591,1557754,646000,64,0.0205,132648225,0,1
23,student,medium,7760726,0,2722191,-2722191,516000,18,0.0302,0,516000,0
38,freelancer,high,11111285,0,1758470,-1758470,359000,13,0.0687,0,359000,0
44,freelancer,low,19433683,0,5871805,-5871805,484000,72,0.0176,0,484000,0
21,student,low,0,1217710,723206,494504,1524000,58,0.03,30823504,0,1
22,student,low,0,0,0,0,10000,26,0.025,0,10000,0
24,self_employed,medium,24866899,0,11507580,-11507580,10000,66,0.0343,0,10000,0
28,employee,low,13656461,3668092,2339131,1328961,10000,45,0.0154,75990974,0,1
22,student,medium,2646372,1715889,1519868,196021,1810000,48,0.031,12998768,0,1
22,freelancer,medium,0,0,0,0,10000,61,0.0423,0,10000,0
23,student,low,0,0,0,0,1078000,94,0.0209,0,1078000,0
26,employee,high,37978954,2623784,1904362,719422,1897000,56,0.0971,110351758,0,1
22,student,medium,3314099,0,1477112,-1477112,3057000,70,0.0523,0,3057000,0
24,student,low,8702468,0,3773867,-3773867,1801000,47,0.0292,0,1801000,0
37,professional,high,26704054,2727832,1562692,1165140,1538000,55,0.0791,115265371,0,1
28,student,low,5396180,0,0,0,10000,73,0.0201,6097409,0,1
23,student,medium,1355672,0,660091,-660091,1182000,29,0.0307,0,1182000,0
40,professional,high,37639315,8328731,5171627,3157104,707000,67,0.0791,323318462,0,1
46,professional,medium,35976199,2848675,1672091,1176584,1030000,40,0.0572,95227582,0,1
29,freelancer,medium,733848,34690,19259,15431,2213000,49,0.0566,1772545,440455,0
37,professional,medium,0,6551697,2998812,3552885,563000,14,0.0521,51168777,0,1
37,self_employed,high,8929059,0,1899922,-1899922,2212000,97,0.0888,0,2212000,0
24,professional,high,12728124,4923144,2100160,2822984,631000,71,0.067,264044183,0,1
25,professional,medium,0,5347577,3032674,2314903,110000,19,0.0366,45211618,0,1
40,employee,high,34063571,2088366,1421107,667259,2279000,1,0.0739,34940605,0,1
25,employee,low,11474319,3683919,2055465,1628454,10000,57,0.027,111960936,0,1
19,student,low,1186706,0,369643,-369643,833000,26,0.0141,0,833000,0
24,freelancer,medium,0,4150420,3013345,1137075,150000,65,0.0537,85561322,0,1
25,self_employed,medium,0,0,0,0,10000,42,0.0434,0,10000,0
42,self_employed,high,31731658,2974247,1927000,1047247,993000,59,0.0785,121729090,0,1
54,professional,high,8951825,3428477,2036849,1391628,10000,23,0.0703,44396195,0,1
24,freelancer,low,4184759,0,1625557,-1625557,363000,49,0.0119,0,363000,0
47,professional,high,9684912,0,4439779,-4439779,1996000,52,0.0609,0,1996000,0
32,self_employed,low,669240,6611029,5408296,1202733,1857000,93,0.0152,119382103,0,1
36,professional,medium,0,5547736,2883186,2664550,1364000,82,0.0437,254085991,0,1
22,student,medium,0,0,0,0,1265000,63,0.0435,0,1265000,0
22,student,medium,1531425,0,471539,-471539,1225000,24,0.0584,0,1225000,0
25,student,medium,0,0,0,0,463000,77,0.0573,0,463000,0
21,student,low,0,0,0,0,1123000,18,0.018,0,1123000,0
40,freelancer,low,33831323,5560874,4627583,933291,10000,99,0.0148,136431036,0,1
38,professional,low,31065394,5952272,3818557,2133715,181000,61,0.0269,174920420,0,1
26,self_employed,medium,3483108,2984843,2732944,251899,1304000,1,0.0345,3745021,0,1
40,employee,medium,10668273,2989520,1720279,1269241,1170000,52,0.0552,87914672,0,1
24,employee,low,11797544,3489261,2603465,885796,641000,42,0.026,51824860,0,1
23,student,low,0,0,0,0,10000,38,0.0222,0,10000,0
32,employee,low,0,0,0,0,1707000,70,0.0191,0,1707000,0
33,employee,high,14811754,4202274,2836467,1365807,3398000,38,0.0954,80327580,0,1
40,professional,low,49147305,8139602,4577895,3561707,1810000,41,0.0175,202544334,0,1
30,employee,low,23625401,2427780,1194625,1233155,10000,48,0.0184,86803713,0,1
26,employee,high,3379165,0,1012998,-1012998,10000,33,0.0663,0,10000,0
42,freelancer,medium,7144893,0,3013210,-3013210,10000,55,0.043,0,10000,0
46,freelancer,medium,0,0,0,0,272000,33,0.0313,0,272000,0
43,self_employed,low,35534385,4534789,2535418,1999371,1263000,33,0.0216,105622334,0,1
41,employee,medium,0,2841184,2202931,638253,10000,18,0.0585,11977218,0,1
21,student,high,4969781,585995,369532,216463,1426000,22,0.0975,11129526,0,1
29,employee,high,13578219,0,6030712,-6030712,1448000,21,0.0769,0,1448000,0
27,freelancer,high,22039282,0,13072094,-13072094,10000,45,0.0758,0,10000,0
26,employee,high,15430286,3000530,1613190,1387340,10000,29,0.0738,62329430,0,1
21,student,low,0,0,0,0,10000,72,0.0218,0,10000,0
26,employee,low,10858046,3167732,1719066,1448666,556000,51,0.0201,88887663,0,1
27,employee,low,7467124,0,3879524,-3879524,319000,34,0.0157,0,319000,0
20,student,low,0,0,0,0,941000,47,0.016,0,941000,0
27,employee,low,20467251,2593094,1759682,833412,10000,35,0.0109,50752466,0,1
26,professional,low,18509875,6304052,4113022,2191030,10000,68,0.0109,173304296,0,1
32,employee,medium,0,4351750,3026721,1325029,34000,72,0.0382,107030073,0,1
41,professional,medium,22627262,7500605,4406361,3094244,10000,12,0.0435,61511656,0,1
24,student,low,0,470349,220805,249544,10000,39,0.0126,9928912,0,1
23,student,medium,5034078,1079317,615749,463568,10000,92,0.0524,59864887,0,1
39,self_employed,high,34752827,0,18470876,-18470876,10000,70,0.0971,0,10000,0
24,student,low,2635865,0,1208287,-1208287,10000,30,0.0119,0,10000,0
33,employee,medium,19802373,2098114,1292908,805206,1841000,30,0.0352,46833488,0,1
36,professional,low,35402963,3010684,1870093,1140591,2259000,39,0.0119,82129816,0,1
32,employee,high,15846147,1823377,1044677,778700,829000,10,0.0809,24974976,0,1
24,student,medium,2603041,536440,477835,58605,151000,53,0.0391,6477234,0,1
28,freelancer,low,8129887,0,4292676,-4292676,10000,76,0.0148,0,10000,0
52,self_employed,medium,0,2587178,2610624,-23446,152000,33,0.0343,0,152000,0
25,employee,low,30894457,0,15375114,-15375114,558000,57,0.0173,0,558000,0
